position,hand,action
UTG,J2o,Fold
UTG,T2o,Fold
UTG,92o,Fold
UTG,82o,Fold
UTG,72o,Fold
UTG,62o,Fold
UTG,52o,Fold
UTG,42o,Fold
UTG,32o,Fold
UTG,22,Fold
UTG+1,AA,Raise
UTG+1,AKs,Raise
UTG+1,AQs,Fold
UTG+1,AJs,Fold
UTG+1,ATs,Fold
UTG+1,A9s,Fold
UTG+1,A8s,Fold
UTG+1,A7s,Fold
UTG+1,A6s,Fold
UTG+1,A5s,Fold
UTG+1,A4s,Fold
UTG+1,A3s,Fold
UTG+1,A2s,Fold
UTG+1,AKo,Raise
UTG+1,KK,Raise
UTG+1,KQs,Fold
UTG+1,KJs,Fold
UTG+1,KTs,Fold
UTG+1,K9s,Fold
UTG+1,K8s,Fold
UTG+1,K7s,Fold
UTG+1,K6s,Fold
UTG+1,K5s,Fold
UTG+1,K4s,Fold
UTG+1,K3s,Fold
UTG+1,K2s,Fold
UTG+1,AQo,Fold
UTG+1,KQo,Fold
UTG+1,QQ,Raise
UTG+1,QJs,Fold
UTG+1,QTs,Fold
UTG+1,Q9s,Fold
UTG+1,Q8s,Fold
UTG+1,Q7s,Fold
UTG+1,Q6s,Fold
UTG+1,Q5s,Fold
UTG+1,Q4s,Fold
UTG+1,Q3s,Fold
UTG+1,Q2s,Fold
UTG+1,AJo,Fold
UTG+1,KJo,Fold
UTG+1,QJo,Fold
UTG+1,JJ,Raise
UTG+1,JTs,Fold
UTG+1,J9s,Fold
UTG+1,J8s,Fold
UTG+1,J7s,Fold
UTG+1,J6s,Fold
UTG+1,J5s,Fold
UTG+1,J4s,Fold
UTG+1,J3s,Fold
UTG+1,J2s,Fold
UTG+1,ATo,Fold
UTG+1,KTo,Fold
UTG+1,QTo,Fold
UTG+1,JTo,Fold
UTG+1,TT,Fold
UTG+1,T9s,Fold
UTG+1,T8s,Fold
UTG+1,T7s,Fold
UTG+1,T6s,Fold
UTG+1,T5s,Fold
UTG+1,T4s,Fold
UTG+1,T3s,Fold
UTG+1,T2s,Fold
UTG+1,A9o,Fold
UTG+1,K9o,Fold
UTG+1,Q9o,Fold
UTG+1,J9o,Fold
UTG+1,T9o,Fold
UTG+1,99,Fold
UTG+1,98s,Fold
UTG+1,97s,Fold
UTG+1,96s,Fold
UTG+1,95s,Fold
UTG+1,94s,Fold
UTG+1,93s,Fold
UTG+1,92s,Fold
UTG+1,A8o,Fold
UTG+1,K8o,Fold
UTG+1,Q8o,Fold
UTG+1,J8o,Fold
UTG+1,T8o,Fold
UTG+1,98o,Fold
UTG+1,88,Fold
UTG+1,87s,Fold
UTG+1,86s,Fold
UTG+1,85s,Fold
UTG+1,84s,Fold
UTG+1,83s,Fold
UTG+1,82s,Fold
UTG+1,A7o,Fold
UTG+1,K7o,Fold
UTG+1,Q7o,Fold
UTG+1,J7o,Fold
UTG+1,T7o,Fold
UTG+1,97o,Fold
UTG+1,87o,Fold
UTG+1,77,Fold
UTG+1,76s,Fold
UTG+1,75s,Fold
UTG+1,74s,Fold
UTG+1,73s,Fold
UTG+1,72s,Fold
UTG+1,A6o,Fold
UTG+1,K6o,Fold
UTG+1,Q6o,Fold
UTG+1,J6o,Fold
UTG+1,T6o,Fold
UTG+1,96o,Fold
UTG+1,86o,Fold
UTG+1,76o,Fold
UTG+1,66,Fold
UTG+1,65s,Fold
UTG+1,64s,Fold
UTG+1,63s,Fold
UTG+1,62s,Fold
UTG+1,A5o,Fold
UTG+1,K5o,Fold
UTG+1,Q5o,Fold
UTG+1,J5o,Fold
UTG+1,T5o,Fold
UTG+1,95o,Fold
UTG+1,85o,Fold
UTG+1,75o,Fold
UTG+1,65o,Fold
UTG+1,55,Fold
UTG+1,54s,Fold
UTG+1,53s,Fold
UTG+1,52s,Fold
UTG+1,A4o,Fold
UTG+1,K4o,Fold
UTG+1,Q4o,Fold
UTG+1,J4o,Fold
UTG+1,T4o,Fold
UTG+1,94o,Fold
UTG+1,84o,Fold
UTG+1,74o,Fold
UTG+1,64o,Fold
UTG+1,54o,Fold
UTG+1,44,Fold
UTG+1,43s,Fold
UTG+1,42s,Fold
UTG+1,A3o,Fold
UTG+1,K3o,Fold
UTG+1,Q3o,Fold
UTG+1,J3o,Fold
UTG+1,T3o,Fold
UTG+1,93o,Fold
UTG+1,83o,Fold
UTG+1,73o,Fold
UTG+1,63o,Fold
UTG+1,53o,Fold
UTG+1,43o,Fold
UTG+1,33,Fold
UTG+1,32s,Fold
UTG+1,A2o,Fold
UTG+1,K2o,Fold
UTG+1,Q2o,Fold
UTG+1,J2o,Fold
UTG+1,T2o,Fold
UTG+1,92o,Fold
UTG+1,82o,Fold
UTG+1,72o,Fold
UTG+1,62o,Fold
UTG+1,52o,Fold
UTG+1,42o,Fold
UTG+1,32o,Fold
UTG+1,22,Fold
MP,AA,Raise
MP,AKs,Raise
MP,AQs,Fold
MP,AJs,Raise
MP,ATs,Raise
MP,A9s,Fold
MP,A8s,Fold
MP,A7s,Fold
MP,A6s,Fold
MP,A5s,Fold
MP,A4s,Fold
MP,A3s,Fold
MP,A2s,Fold
MP,AKo,Raise
MP,KK,Raise
MP,KQs,Raise
MP,KJs,Fold
MP,KTs,Fold
MP,K9s,Fold
MP,K8s,Fold
MP,K7s,Fold
MP,K6s,Fold
MP,K5s,Fold
MP,K4s,Fold
MP,K3s,Fold
MP,K2s,Fold
MP,AQo,Fold
MP,KQo,Fold
MP,QQ,Raise
MP,QJs,Raise
MP,QTs,Fold
MP,Q9s,Fold
MP,Q8s,Fold
MP,Q7s,Fold
MP,Q6s,Fold
MP,Q5s,Fold
MP,Q4s,Fold
MP,Q3s,Fold
MP,Q2s,Fold
MP,AJo,Fold
MP,KJo,Fold
MP,QJo,Fold
MP,JJ,Raise
MP,JTs,Fold
MP,J9s,Fold
MP,J8s,Fold
MP,J7s,Fold
MP,J6s,Fold
MP,J5s,Fold
MP,J4s,Fold
MP,J3s,Fold
MP,J2s,Fold
MP,ATo,Fold
MP,KTo,Fold
MP,QTo,Fold
MP,JTo,Fold
MP,TT,Raise
MP,T9s,Fold
MP,T8s,Fold
MP,T7s,Fold
MP,T6s,Fold
MP,T5s,Fold
MP,T4s,Fold
MP,T3s,Fold
MP,T2s,Fold
MP,A9o,Fold
MP,K9o,Fold
MP,Q9o,Fold
MP,J9o,Fold
MP,T9o,Fold
MP,99,Raise
MP,98s,Fold
MP,97s,Fold
MP,96s,Fold
MP,95s,Fold
MP,94s,Fold
MP,93s,Fold
MP,92s,Fold
MP,A8o,Fold
MP,K8o,Fold
MP,Q8o,Fold
MP,J8o,Fold
MP,T8o,Fold
MP,98o,Fold
MP,88,Fold
MP,87s,Fold
MP,86s,Fold
MP,85s,Fold
MP,84s,Fold
MP,83s,Fold
MP,82s,Fold
MP,A7o,Fold
MP,K7o,Fold
MP,Q7o,Fold
MP,J7o,Fold
MP,T7o,Fold
MP,97o,Fold
MP,87o,Fold
MP,77,Fold
MP,76s,Fold
MP,75s,Fold
MP,74s,Fold
MP,73s,Fold
MP,72s,Fold
MP,A6o,Fold
MP,K6o,Fold
MP,Q6o,Fold
MP,J6o,Fold
MP,T6o,Fold
MP,96o,Fold
MP,86o,Fold
MP,76o,Fold
MP,66,Fold
MP,65s,Fold
MP,64s,Fold
MP,63s,Fold
MP,62s,Fold
MP,A5o,Fold
MP,K5o,Fold
MP,Q5o,Fold
MP,J5o,Fold
MP,T5o,Fold
MP,95o,Fold
MP,85o,Fold
MP,75o,Fold
MP,65o,Fold
MP,55,Fold
MP,54s,Fold
MP,53s,Fold
MP,52s,Fold
MP,A4o,Fold
MP,K4o,Fold
MP,Q4o,Fold
MP,J4o,Fold
MP,T4o,Fold
MP,94o,Fold
MP,84o,Fold
MP,74o,Fold
MP,64o,Fold
MP,54o,Fold
MP,44,Fold
MP,43s,Fold
MP,42s,Fold
MP,A3o,Fold
MP,K3o,Fold
MP,Q3o,Fold
MP,J3o,Fold
MP,T3o,Fold
MP,93o,Fold
MP,83o,Fold
MP,73o,Fold
MP,63o,Fold
MP,53o,Fold
MP,43o,Fold
MP,33,Fold
MP,32s,Fold
MP,A2o,Fold
MP,K2o,Fold
MP,Q2o,Fold
MP,J2o,Fold
MP,T2o,Fold
MP,92o,Fold
MP,82o,Fold
MP,72o,Fold
MP,62o,Fold
MP,52o,Fold
MP,42o,Fold
MP,32o,Fold
MP,22,Fold
MP+1,AA,Raise
MP+1,AKs,Raise
MP+1,AQs,Fold
MP+1,AJs,Raise
MP+1,ATs,Raise
MP+1,A9s,Fold
MP+1,A8s,Fold
MP+1,A7s,Fold
MP+1,A6s,Fold
MP+1,A5s,Fold
MP+1,A4s,Fold
MP+1,A3s,Fold
MP+1,A2s,Fold
MP+1,AKo,Raise
MP+1,KK,Raise
MP+1,KQs,Raise
MP+1,KJs,Fold
MP+1,KTs,Fold
MP+1,K9s,Fold
MP+1,K8s,Fold
MP+1,K7s,Fold
MP+1,K6s,Fold
MP+1,K5s,Fold
MP+1,K4s,Fold
MP+1,K3s,Fold
MP+1,K2s,Fold
MP+1,AQo,Fold
MP+1,KQo,Fold
MP+1,QQ,Raise
MP+1,QJs,Raise
MP+1,QTs,Fold
MP+1,Q9s,Fold
MP+1,Q8s,Fold
MP+1,Q7s,Fold
MP+1,Q6s,Fold
MP+1,Q5s,Fold
MP+1,Q4s,Fold
MP+1,Q3s,Fold
MP+1,Q2s,Fold
MP+1,AJo,Fold
MP+1,KJo,Fold
MP+1,QJo,Fold
MP+1,JJ,Raise
MP+1,JTs,Fold
MP+1,J9s,Fold
MP+1,J8s,Fold
MP+1,J7s,Fold
MP+1,J6s,Fold
MP+1,J5s,Fold
MP+1,J4s,Fold
MP+1,J3s,Fold
MP+1,J2s,Fold
MP+1,ATo,Fold
MP+1,KTo,Fold
MP+1,QTo,Fold
MP+1,JTo,Fold
MP+1,TT,Raise
MP+1,T9s,Fold
MP+1,T8s,Fold
MP+1,T7s,Fold
MP+1,T6s,Fold
MP+1,T5s,Fold
MP+1,T4s,Fold
MP+1,T3s,Fold
MP+1,T2s,Fold
MP+1,A9o,Fold
MP+1,K9o,Fold
MP+1,Q9o,Fold
MP+1,J9o,Fold
MP+1,T9o,Fold
MP+1,99,Raise
MP+1,98s,Fold
MP+1,97s,Fold
MP+1,96s,Fold
MP+1,95s,Fold
MP+1,94s,Fold
MP+1,93s,Fold
MP+1,92s,Fold
MP+1,A8o,Fold
MP+1,K8o,Fold
MP+1,Q8o,Fold
MP+1,J8o,Fold
MP+1,T8o,Fold
MP+1,98o,Fold
MP+1,88,Fold
MP+1,87s,Fold
MP+1,86s,Fold
MP+1,85s,Fold
MP+1,84s,Fold
MP+1,83s,Fold
MP+1,82s,Fold
MP+1,A7o,Fold
MP+1,K7o,Fold
MP+1,Q7o,Fold
MP+1,J7o,Fold
MP+1,T7o,Fold
MP+1,97o,Fold
MP+1,87o,Fold
MP+1,77,Fold
MP+1,76s,Fold
MP+1,75s,Fold
MP+1,74s,Fold
MP+1,73s,Fold
MP+1,72s,Fold
MP+1,A6o,Fold
MP+1,K6o,Fold
MP+1,Q6o,Fold
MP+1,J6o,Fold
MP+1,T6o,Fold
MP+1,96o,Fold
MP+1,86o,Fold
MP+1,76o,Fold
MP+1,66,Fold
MP+1,65s,Fold
MP+1,64s,Fold
MP+1,63s,Fold
MP+1,62s,Fold
MP+1,A5o,Fold
MP+1,K5o,Fold
MP+1,Q5o,Fold
MP+1,J5o,Fold
MP+1,T5o,Fold
MP+1,95o,Fold
MP+1,85o,Fold
MP+1,75o,Fold
MP+1,65o,Fold
MP+1,55,Fold
MP+1,54s,Fold
MP+1,53s,Fold
MP+1,52s,Fold
MP+1,A4o,Fold
MP+1,K4o,Fold
MP+1,Q4o,Fold
MP+1,J4o,Fold
MP+1,T4o,Fold
MP+1,94o,Fold
MP+1,84o,Fold
MP+1,74o,Fold
MP+1,64o,Fold
MP+1,54o,Fold
MP+1,44,Fold
MP+1,43s,Fold
MP+1,42s,Fold
MP+1,A3o,Fold
MP+1,K3o,Fold
MP+1,Q3o,Fold
MP+1,J3o,Fold
MP+1,T3o,Fold
MP+1,93o,Fold
MP+1,83o,Fold
MP+1,73o,Fold
MP+1,63o,Fold
MP+1,53o,Fold
MP+1,43o,Fold
MP+1,33,Fold
MP+1,32s,Fold
MP+1,A2o,Fold
MP+1,K2o,Fold
MP+1,Q2o,Fold
MP+1,J2o,Fold
MP+1,T2o,Fold
MP+1,92o,Fold
MP+1,82o,Fold
MP+1,72o,Fold
MP+1,62o,Fold
MP+1,52o,Fold
MP+1,42o,Fold
MP+1,32o,Fold
MP+1,22,Fold
HJ,AA,Raise
HJ,AKs,Raise
HJ,AQs,Fold
HJ,AJs,Raise
HJ,ATs,Raise
HJ,A9s,Fold
HJ,A8s,Fold
HJ,A7s,Fold
HJ,A6s,Fold
HJ,A5s,Fold
HJ,A4s,Fold
HJ,A3s,Fold
HJ,A2s,Fold
HJ,AKo,Raise
HJ,KK,Raise
HJ,KQs,Raise
HJ,KJs,Fold
HJ,KTs,Fold
HJ,K9s,Fold
HJ,K8s,Fold
HJ,K7s,Fold
HJ,K6s,Fold
HJ,K5s,Fold
HJ,K4s,Fold
HJ,K3s,Fold
HJ,K2s,Fold
HJ,AQo,Fold
HJ,KQo,Fold
HJ,QQ,Raise
HJ,QJs,Raise
HJ,QTs,Fold
HJ,Q9s,Fold
HJ,Q8s,Fold
HJ,Q7s,Fold
HJ,Q6s,Fold
HJ,Q5s,Fold
HJ,Q4s,Fold
HJ,Q3s,Fold
HJ,Q2s,Fold
HJ,AJo,Fold
HJ,KJo,Fold
HJ,QJo,Fold
HJ,JJ,Raise
HJ,JTs,Fold
HJ,J9s,Fold
HJ,J8s,Fold
HJ,J7s,Fold
HJ,J6s,Fold
HJ,J5s,Fold
HJ,J4s,Fold
HJ,J3s,Fold
HJ,J2s,Fold
HJ,ATo,Fold
HJ,KTo,Fold
HJ,QTo,Fold
HJ,JTo,Fold
HJ,TT,Raise
HJ,T9s,Fold
HJ,T8s,Fold
HJ,T7s,Fold
HJ,T6s,Fold
HJ,T5s,Fold
HJ,T4s,Fold
HJ,T3s,Fold
HJ,T2s,Fold
HJ,A9o,Fold
HJ,K9o,Fold
HJ,Q9o,Fold
HJ,J9o,Fold
HJ,T9o,Fold
HJ,99,Raise
HJ,98s,Fold
HJ,97s,Fold
HJ,96s,Fold
HJ,95s,Fold
HJ,94s,Fold
HJ,93s,Fold
HJ,92s,Fold
HJ,A8o,Fold
HJ,K8o,Fold
HJ,Q8o,Fold
HJ,J8o,Fold
HJ,T8o,Fold
HJ,98o,Fold
HJ,88,Fold
HJ,87s,Fold
HJ,86s,Fold
HJ,85s,Fold
HJ,84s,Fold
HJ,83s,Fold
HJ,82s,Fold
HJ,A7o,Fold
HJ,K7o,Fold
HJ,Q7o,Fold
HJ,J7o,Fold
HJ,T7o,Fold
HJ,97o,Fold
HJ,87o,Fold
HJ,77,Fold
HJ,76s,Fold
HJ,75s,Fold
HJ,74s,Fold
HJ,73s,Fold
HJ,72s,Fold
HJ,A6o,Fold
HJ,K6o,Fold
HJ,Q6o,Fold
HJ,J6o,Fold
HJ,T6o,Fold
HJ,96o,Fold
HJ,86o,Fold
HJ,76o,Fold
HJ,66,Fold
HJ,65s,Fold
HJ,64s,Fold
HJ,63s,Fold
HJ,62s,Fold
HJ,A5o,Fold
HJ,K5o,Fold
HJ,Q5o,Fold
HJ,J5o,Fold
HJ,T5o,Fold
HJ,95o,Fold
HJ,85o,Fold
HJ,75o,Fold
HJ,65o,Fold
HJ,55,Fold
HJ,54s,Fold
HJ,53s,Fold
HJ,52s,Fold
HJ,A4o,Fold
HJ,K4o,Fold
HJ,Q4o,Fold
HJ,J4o,Fold
HJ,T4o,Fold
HJ,94o,Fold
HJ,84o,Fold
HJ,74o,Fold
HJ,64o,Fold
HJ,54o,Fold
HJ,44,Fold
HJ,43s,Fold
HJ,42s,Fold
HJ,A3o,Fold
HJ,K3o,Fold
HJ,Q3o,Fold
HJ,J3o,Fold
HJ,T3o,Fold
HJ,93o,Fold
HJ,83o,Fold
HJ,73o,Fold
HJ,63o,Fold
HJ,53o,Fold
HJ,43o,Fold
HJ,33,Fold
HJ,32s,Fold
HJ,A2o,Fold
HJ,K2o,Fold
HJ,Q2o,Fold
HJ,J2o,Fold
HJ,T2o,Fold
HJ,92o,Fold
HJ,82o,Fold
HJ,72o,Fold
HJ,62o,Fold
HJ,52o,Fold
HJ,42o,Fold
HJ,32o,Fold
HJ,22,Fold
CO,AA,Raise
CO,AKs,Raise
CO,AQs,Raise
CO,AJs,Raise
CO,ATs,Raise
CO,A9s,Raise
CO,A8s,Raise
CO,A7s,Raise
CO,A6s,Raise
CO,A5s,Raise
CO,A4s,Raise
CO,A3s,Raise
CO,A2s,Raise
CO,AKo,Raise
CO,KK,Raise
CO,KQs,Raise
CO,KJs,Raise
CO,KTs,Raise
CO,K9s,Raise
CO,K8s,Raise
CO,K7s,Raise
CO,K6s,Raise
CO,K5s,Raise
CO,K4s,Raise
CO,K3s,Raise
CO,K2s,Raise
CO,AQo,Raise
CO,KQo,Raise
CO,QQ,Raise
CO,QJs,Raise
CO,QTs,Raise
CO,Q9s,Raise
CO,Q8s,Raise
CO,Q7s,Raise
CO,Q6s,Raise
CO,Q5s,Raise
CO,Q4s,Raise
CO,Q3s,Raise
CO,Q2s,Raise
CO,AJo,Raise
CO,KJo,Raise
CO,QJo,Raise
CO,JJ,Raise
CO,JTs,Raise
CO,J9s,Raise
CO,J8s,Raise
CO,J7s,Raise
CO,J6s,Raise
CO,J5s,Raise
CO,J4s,Raise
CO,J3s,Raise
CO,J2s,Raise
CO,ATo,Raise
CO,KTo,Raise
CO,QTo,Raise
CO,JTo,Raise
CO,TT,Fold
CO,T9s,Raise
CO,T8s,Raise
CO,T7s,Raise
CO,T6s,Raise
CO,T5s,Raise
CO,T4s,Raise
CO,T3s,Raise
CO,T2s,Raise
CO,A9o,Raise
CO,K9o,Raise
CO,Q9o,Raise
CO,J9o,Raise
CO,T9o,Fold
CO,99,Fold
CO,98s,Raise
CO,97s,Raise
CO,96s,Raise
CO,95s,Raise
CO,94s,Raise
CO,93s,Raise
CO,92s,Raise
CO,A8o,Raise
CO,K8o,Raise
CO,Q8o,Raise
CO,J8o,Raise
CO,T8o,Fold
CO,98o,Fold
CO,88,Fold
CO,87s,Raise
CO,86s,Raise
CO,85s,Raise
CO,84s,Raise
CO,83s,Raise
CO,82s,Raise
CO,A7o,Raise
CO,K7o,Raise
CO,Q7o,Raise
CO,J7o,Raise
CO,T7o,Fold
CO,97o,Fold
CO,87o,Fold
CO,77,Fold
CO,76s,Raise
CO,75s,Raise
CO,74s,Raise
CO,73s,Raise
CO,72s,Raise
CO,A6o,Raise
CO,K6o,Raise
CO,Q6o,Raise
CO,J6o,Raise
CO,T6o,Fold
CO,96o,Fold
CO,86o,Fold
CO,76o,Fold
CO,66,Fold
CO,65s,Fold
CO,64s,Fold
CO,63s,Fold
CO,62s,Fold
CO,A5o,Raise
CO,K5o,Raise
CO,Q5o,Raise
CO,J5o,Raise
CO,T5o,Fold
CO,95o,Fold
CO,85o,Fold
CO,75o,Fold
CO,65o,Fold
CO,55,Fold
CO,54s,Fold
CO,53s,Fold
CO,52s,Fold
CO,A4o,Raise
CO,K4o,Raise
CO,Q4o,Raise
CO,J4o,Raise
CO,T4o,Fold
CO,94o,Fold
CO,84o,Fold
CO,74o,Fold
CO,64o,Fold
CO,54o,Fold
CO,44,Fold
CO,43s,Fold
CO,42s,Fold
CO,A3o,Raise
CO,K3o,Raise
CO,Q3o,Raise
CO,J3o,Raise
CO,T3o,Fold
CO,93o,Fold
CO,83o,Fold
CO,73o,Fold
CO,63o,Fold
CO,53o,Fold
CO,43o,Fold
CO,33,Fold
CO,32s,Fold
CO,A2o,Raise
CO,K2o,Raise
CO,Q2o,Raise
CO,J2o,Raise
CO,T2o,Fold
CO,92o,Fold
CO,82o,Fold
CO,72o,Fold
CO,62o,Fold
CO,52o,Fold
CO,42o,Fold
CO,32o,Fold
CO,22,Fold
BTN,AA,Raise
BTN,AKs,Raise
BTN,AQs,Raise
BTN,AJs,Raise
BTN,ATs,Raise
BTN,A9s,Raise
BTN,A8s,Raise
BTN,A7s,Raise
BTN,A6s,Raise
BTN,A5s,Raise
BTN,A4s,Raise
BTN,A3s,Raise
BTN,A2s,Raise
BTN,AKo,Raise
BTN,KK,Raise
BTN,KQs,Raise
BTN,KJs,Raise
BTN,KTs,Raise
BTN,K9s,Raise
BTN,K8s,Raise
BTN,K7s,Raise
BTN,K6s,Raise
BTN,K5s,Raise
BTN,K4s,Raise
BTN,K3s,Raise
BTN,K2s,Raise
BTN,AQo,Raise
BTN,KQo,Raise
BTN,QQ,Raise
BTN,QJs,Raise
BTN,QTs,Raise
BTN,Q9s,Raise
BTN,Q8s,Raise
BTN,Q7s,Raise
BTN,Q6s,Raise
BTN,Q5s,Raise
BTN,Q4s,Raise
BTN,Q3s,Raise
BTN,Q2s,Raise
BTN,AJo,Raise
BTN,KJo,Raise
BTN,QJo,Raise
BTN,JJ,Raise
BTN,JTs,Raise
BTN,J9s,Raise
BTN,J8s,Raise
BTN,J7s,Raise
BTN,J6s,Raise
BTN,J5s,Raise
BTN,J4s,Raise
BTN,J3s,Raise
BTN,J2s,Raise
BTN,ATo,Raise
BTN,KTo,Raise
BTN,QTo,Raise
BTN,JTo,Raise
BTN,TT,Fold
BTN,T9s,Raise
BTN,T8s,Raise
BTN,T7s,Raise
BTN,T6s,Raise
BTN,T5s,Raise
BTN,T4s,Raise
BTN,T3s,Raise
BTN,T2s,Raise
BTN,A9o,Raise
BTN,K9o,Raise
BTN,Q9o,Raise
BTN,J9o,Raise
BTN,T9o,Fold
BTN,99,Fold
BTN,98s,Raise
BTN,97s,Raise
BTN,96s,Raise
BTN,95s,Raise
BTN,94s,Raise
BTN,93s,Raise
BTN,92s,Raise
BTN,A8o,Raise
BTN,K8o,Raise
BTN,Q8o,Raise
BTN,J8o,Raise
BTN,T8o,Fold
BTN,98o,Fold
BTN,88,Fold
BTN,87s,Raise
BTN,86s,Raise
BTN,85s,Raise
BTN,84s,Raise
BTN,83s,Raise
BTN,82s,Raise
BTN,A7o,Raise
BTN,K7o,Raise
BTN,Q7o,Raise
BTN,J7o,Raise
BTN,T7o,Fold
BTN,97o,Fold
BTN,87o,Fold
BTN,77,Fold
BTN,76s,Raise
BTN,75s,Raise
BTN,74s,Raise
BTN,73s,Raise
BTN,72s,Raise
BTN,A6o,Raise
BTN,K6o,Raise
BTN,Q6o,Raise
BTN,J6o,Raise
BTN,T6o,Fold
BTN,96o,Fold
BTN,86o,Fold
BTN,76o,Fold
BTN,66,Fold
BTN,65s,Fold
BTN,64s,Fold
BTN,63s,Fold
BTN,62s,Fold
BTN,A5o,Raise
BTN,K5o,Raise
BTN,Q5o,Raise
BTN,J5o,Raise
BTN,T5o,Fold
BTN,95o,Fold
BTN,85o,Fold
BTN,75o,Fold
BTN,65o,Fold
BTN,55,Fold
BTN,54s,Fold
BTN,53s,Fold
BTN,52s,Fold
BTN,A4o,Raise
BTN,K4o,Raise
BTN,Q4o,Raise
BTN,J4o,Raise
BTN,T4o,Fold
BTN,94o,Fold
BTN,84o,Fold
BTN,74o,Fold
BTN,64o,Fold
BTN,54o,Fold
BTN,44,Fold
BTN,43s,Fold
BTN,42s,Fold
BTN,A3o,Raise
BTN,K3o,Raise
BTN,Q3o,Raise
BTN,J3o,Raise
BTN,T3o,Fold
BTN,93o,Fold
BTN,83o,Fold
BTN,73o,Fold
BTN,63o,Fold
BTN,53o,Fold
BTN,43o,Fold
BTN,33,Fold
BTN,32s,Fold
BTN,A2o,Raise
BTN,K2o,Raise
BTN,Q2o,Raise
BTN,J2o,Raise
BTN,T2o,Fold
BTN,92o,Fold
BTN,82o,Fold
BTN,72o,Fold
BTN,62o,Fold
BTN,52o,Fold
BTN,42o,Fold
BTN,32o,Fold
BTN,22,Fold
SB,AA,Raise
SB,AKs,Raise
SB,AQs,Fold
